CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day,month,weekday,is_weekend,hour_sin,hour_cos,month_sin,month_cos,temp_humidity_interaction,lag1_CO(GT),lag1_NMHC(GT),lag1_C6H6(GT),lag1_NOx(GT),lag1_NO2(GT),lag1_T,lag1_RH,lag1_AH,target_aqi_category,datetime
1.4,1058.0,92.0,6.3,824.0,95.0,993.0,99.0,1411.0,971.0,14.1,46.0,0.7363,22,8,4,3,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,648.6,1.6,138.0,7.0,92.0,93.0,15.3,41.5,0.7194,Moderate,2004-04-08 22:00:00
2.0,,137.0,,,129.0,,106.0,,,,,,23,8,4,3,0,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,,1.4,92.0,6.3,95.0,99.0,14.1,46.0,0.7363,Moderate,2004-04-08 23:00:00
2.4,,189.0,,,154.0,,109.0,,,,,,0,9,4,4,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,,2.0,137.0,,129.0,106.0,,,,Satisfactory,2004-04-09 00:00:00
1.8,,159.0,,,118.0,,97.0,,,,,,1,9,4,4,0,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,,2.4,189.0,,154.0,109.0,,,,Good,2004-04-09 01:00:00
1.0,,80.0,,,69.0,,83.0,,,,,,2,9,4,4,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,,1.8,159.0,,118.0,97.0,,,,Good,2004-04-09 02:00:00
1.0,,66.0,,,,,,,,,,,3,9,4,4,0,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,,1.0,80.0,,69.0,83.0,,,,Good,2004-04-09 03:00:00
1.0,,87.0,,,97.0,,79.0,,,,,,4,9,4,4,0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,,1.0,66.0,,,,,,,Good,2004-04-09 04:00:00
0.9,,79.0,,,145.0,,84.0,,,,,,5,9,4,4,0,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,,1.0,87.0,,97.0,79.0,,,,Satisfactory,2004-04-09 05:00:00
1.5,,150.0,,,169.0,,86.0,,,,,,6,9,4,4,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,,0.9,79.0,,145.0,84.0,,,,Poor,2004-04-09 06:00:00
2.6,,196.0,,,250.0,,111.0,,,,,,7,9,4,4,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,,1.5,150.0,,169.0,86.0,,,,Poor,2004-04-09 07:00:00
2.9,,299.0,,,215.0,,117.0,,,,,,8,9,4,4,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,,2.6,196.0,,250.0,111.0,,,,Poor,2004-04-09 08:00:00
2.7,,254.0,,,237.0,,122.0,,,,,,9,9,4,4,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,,2.9,299.0,,215.0,117.0,,,,Poor,2004-04-09 09:00:00
2.4,,226.0,,,190.0,,119.0,,,,,,10,9,4,4,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,,2.7,254.0,,237.0,122.0,,,,Poor,2004-04-09 10:00:00
2.6,,262.0,,,219.0,,121.0,,,,,,11,9,4,4,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,,2.4,226.0,,190.0,119.0,,,,Severe,2004-04-09 11:00:00
4.1,,505.0,,,294.0,,127.0,,,,,,12,9,4,4,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,,2.6,262.0,,219.0,121.0,,,,Severe,2004-04-09 12:00:00
4.3,,512.0,,,253.0,,135.0,,,,,,13,9,4,4,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,,4.1,505.0,,294.0,127.0,,,,Moderate,2004-04-09 13:00:00
2.2,,159.0,,,176.0,,119.0,,,,,,14,9,4,4,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,,4.3,512.0,,253.0,135.0,,,,Very Poor,2004-04-09 14:00:00
3.4,,337.0,,,243.0,,137.0,,,,,,15,9,4,4,0,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,,2.2,159.0,,176.0,119.0,,,,Very Poor,2004-04-09 15:00:00
3.6,,357.0,,,214.0,,139.0,,,,,,16,9,4,4,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,,3.4,337.0,,243.0,137.0,,,,Moderate,2004-04-09 16:00:00
2.5,,194.0,,,141.0,,117.0,,,,,,17,9,4,4,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,,3.6,357.0,,214.0,139.0,,,,Poor,2004-04-09 17:00:00
2.8,,278.0,,,166.0,,127.0,,,,,,18,9,4,4,0,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,,2.5,194.0,,141.0,117.0,,,,Very Poor,2004-04-09 18:00:00
3.4,,303.0,,,197.0,,137.0,,,,,,19,9,4,4,0,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,,2.8,278.0,,166.0,127.0,,,,Poor,2004-04-09 19:00:00
3.0,,234.0,,,191.0,,127.0,,,,,,20,9,4,4,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,,3.4,303.0,,197.0,137.0,,,,Moderate,2004-04-09 20:00:00
2.1,,128.0,,,159.0,,107.0,,,,,,21,9,4,4,0,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,,3.0,234.0,,191.0,127.0,,,,Moderate,2004-04-09 21:00:00
2.4,,160.0,,,175.0,,102.0,,,,,,22,9,4,4,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,,2.1,128.0,,159.0,107.0,,,,Poor,2004-04-09 22:00:00
2.3,1176.0,169.0,8.4,917.0,157.0,866.0,95.0,1560.0,1151.0,12.0,67.9,0.9523,23,9,4,4,0,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,814.8000000000001,2.4,160.0,,175.0,102.0,,,,Moderate,2004-04-09 23:00:00
1.3,1047.0,77.0,5.4,783.0,83.0,1014.0,79.0,1449.0,975.0,12.0,66.9,0.9336,0,10,4,5,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,802.8000000000001,2.3,169.0,8.4,157.0,95.0,12.0,67.9,0.9523,Moderate,2004-04-10 00:00:00
1.7,1116.0,98.0,6.9,854.0,118.0,929.0,78.0,1533.0,1034.0,11.5,70.1,0.9503,1,10,4,5,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,806.15,1.3,77.0,5.4,83.0,79.0,12.0,66.9,0.9336,Moderate,2004-04-10 01:00:00
1.7,1074.0,102.0,6.4,832.0,101.0,951.0,75.0,1507.0,980.0,11.4,69.8,0.939,2,10,4,5,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,795.72,1.7,98.0,6.9,118.0,78.0,11.5,70.1,0.9503,Satisfactory,2004-04-10 02:00:00
1.0,922.0,65.0,3.6,687.0,,1142.0,,1390.0,825.0,11.1,69.3,0.9128,3,10,4,5,1,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,769.2299999999999,1.7,102.0,6.4,101.0,75.0,11.4,69.8,0.939,Good,2004-04-10 03:00:00
0.8,898.0,69.0,3.3,669.0,46.0,1163.0,52.0,1386.0,807.0,10.8,70.3,0.9092,4,10,4,5,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,759.24,1.0,65.0,3.6,,,11.1,69.3,0.9128,Satisfactory,2004-04-10 04:00:00
1.0,970.0,89.0,4.0,708.0,81.0,1121.0,55.0,1435.0,842.0,10.2,73.4,0.9129,5,10,4,5,1,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,748.68,0.8,69.0,3.3,46.0,52.0,10.8,70.3,0.9092,Moderate,2004-04-10 05:00:00
1.4,1073.0,134.0,6.0,812.0,112.0,988.0,65.0,1500.0,950.0,10.8,70.5,0.9142,6,10,4,5,1,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,761.4000000000001,1.0,89.0,4.0,81.0,55.0,10.2,73.4,0.9129,Moderate,2004-04-10 06:00:00
1.7,1081.0,157.0,8.2,906.0,150.0,895.0,72.0,1591.0,1024.0,11.0,71.0,0.9279,7,10,4,5,1,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,781.0,1.4,134.0,6.0,112.0,65.0,10.8,70.5,0.9142,Poor,2004-04-10 07:00:00
2.0,1159.0,167.0,9.9,976.0,138.0,837.0,76.0,1663.0,1098.0,12.4,64.0,0.9206,8,10,4,5,1,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,793.6,1.7,157.0,8.2,150.0,72.0,11.0,71.0,0.9279,Poor,2004-04-10 08:00:00
2.0,1112.0,157.0,8.8,931.0,124.0,869.0,84.0,1588.0,1011.0,15.0,53.1,0.8993,9,10,4,5,1,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,796.5,2.0,167.0,9.9,138.0,76.0,12.4,64.0,0.9206,Moderate,2004-04-10 09:00:00
1.9,1112.0,172.0,8.4,917.0,124.0,897.0,90.0,1542.0,931.0,16.6,44.4,0.8313,10,10,4,5,1,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,737.0400000000001,2.0,157.0,8.8,124.0,84.0,15.0,53.1,0.8993,Moderate,2004-04-10 10:00:00
2.1,1063.0,114.0,7.5,877.0,115.0,971.0,89.0,1481.0,811.0,18.0,38.4,0.7862,11,10,4,5,1,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,691.1999999999999,1.9,172.0,8.4,124.0,90.0,16.6,44.4,0.8313,Moderate,2004-04-10 11:00:00
1.8,1032.0,166.0,7.8,892.0,101.0,973.0,87.0,1457.0,756.0,20.6,30.0,0.7213,12,10,4,5,1,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,618.0,2.1,114.0,7.5,115.0,89.0,18.0,38.4,0.7862,Satisfactory,2004-04-10 12:00:00
1.5,936.0,94.0,6.4,829.0,90.0,1054.0,88.0,1336.0,607.0,19.9,26.7,0.6137,13,10,4,5,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,531.3299999999999,1.8,166.0,7.8,101.0,87.0,20.6,30.0,0.7213,Satisfactory,2004-04-10 13:00:00
1.3,883.0,108.0,5.1,766.0,90.0,1152.0,81.0,1238.0,498.0,19.8,23.1,0.5283,14,10,4,5,1,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,457.38000000000005,1.5,94.0,6.4,90.0,88.0,19.9,26.7,0.6137,Satisfactory,2004-04-10 14:00:00
1.4,942.0,98.0,6.9,852.0,89.0,1055.0,89.0,1318.0,540.0,21.4,22.7,0.5722,15,10,4,5,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,485.78,1.3,108.0,5.1,90.0,81.0,19.8,23.1,0.5283,Satisfactory,2004-04-10 15:00:00
1.5,943.0,132.0,6.8,850.0,92.0,1084.0,91.0,1296.0,544.0,22.1,21.3,0.5605,16,10,4,5,1,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,470.73,1.4,98.0,6.9,89.0,89.0,21.4,22.7,0.5722,Moderate,2004-04-10 16:00:00
1.7,1007.0,144.0,7.4,875.0,103.0,1027.0,104.0,1357.0,620.0,21.1,24.5,0.604,17,10,4,5,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,516.95,1.5,132.0,6.8,92.0,91.0,22.1,21.3,0.5605,Moderate,2004-04-10 17:00:00
2.0,1037.0,165.0,8.7,927.0,122.0,949.0,111.0,1426.0,740.0,18.3,31.6,0.6562,18,10,4,5,1,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,578.2800000000001,1.7,144.0,7.4,103.0,104.0,21.1,24.5,0.604,Poor,2004-04-10 18:00:00
2.5,1127.0,210.0,11.2,1022.0,159.0,871.0,129.0,1534.0,921.0,16.1,35.0,0.6372,19,10,4,5,1,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,563.5,2.0,165.0,8.7,122.0,111.0,18.3,31.6,0.6562,Poor,2004-04-10 19:00:00
2.4,1123.0,277.0,10.5,996.0,172.0,861.0,133.0,1551.0,1033.0,14.8,41.5,0.6929,20,10,4,5,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,614.2,2.5,210.0,11.2,159.0,129.0,16.1,35.0,0.6372,Poor,2004-04-10 20:00:00
2.0,1110.0,168.0,8.2,909.0,125.0,916.0,115.0,1487.0,984.0,13.2,50.3,0.7577,21,10,4,5,1,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,663.9599999999999,2.4,277.0,10.5,172.0,133.0,14.8,41.5,0.6929,Very Poor,2004-04-10 21:00:00
2.9,1247.0,248.0,11.6,1037.0,187.0,812.0,125.0,1618.0,1193.0,12.3,55.5,0.7916,22,10,4,5,1,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,682.6500000000001,2.0,168.0,8.2,125.0,115.0,13.2,50.3,0.7577,Poor,2004-04-10 22:00:00
2.5,1220.0,235.0,9.7,967.0,174.0,844.0,117.0,1545.0,1219.0,11.8,56.6,0.7833,23,10,4,5,1,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,667.8800000000001,2.9,248.0,11.6,187.0,125.0,12.3,55.5,0.7916,Satisfactory,2004-04-10 23:00:00
1.4,1028.0,84.0,5.1,770.0,75.0,1047.0,84.0,1326.0,913.0,11.2,56.2,0.7469,0,11,4,6,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,629.4399999999999,2.5,235.0,9.7,174.0,117.0,11.8,56.6,0.7833,Satisfactory,2004-04-11 00:00:00
1.2,978.0,75.0,4.0,711.0,48.0,1144.0,63.0,1304.0,750.0,11.0,56.6,0.7418,1,11,4,6,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,622.6,1.4,84.0,5.1,75.0,84.0,11.2,56.2,0.7469,Satisfactory,2004-04-11 01:00:00
1.0,949.0,62.0,3.7,694.0,61.0,1160.0,68.0,1310.0,772.0,9.3,64.3,0.7531,2,11,4,6,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,597.99,1.2,75.0,4.0,48.0,63.0,11.0,56.6,0.7418,Satisfactory,2004-04-11 02:00:00
1.0,910.0,66.0,4.0,709.0,,1162.0,,1329.0,712.0,8.8,66.0,0.7501,3,11,4,6,1,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,580.8000000000001,1.0,62.0,3.7,61.0,68.0,9.3,64.3,0.7531,Good,2004-04-11 03:00:00
,863.0,49.0,3.0,651.0,38.0,1224.0,52.0,1286.0,712.0,7.8,70.4,0.7463,4,11,4,6,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,549.12,1.0,66.0,4.0,,,8.8,66.0,0.7501,Good,2004-04-11 04:00:00
0.7,836.0,38.0,2.9,643.0,38.0,1244.0,49.0,1306.0,727.0,7.7,70.7,0.7463,5,11,4,6,1,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,544.39,,49.0,3.0,38.0,52.0,7.8,70.4,0.7463,Good,2004-04-11 05:00:00
0.8,856.0,44.0,2.9,644.0,41.0,1259.0,49.0,1301.0,746.0,7.4,71.0,0.7346,6,11,4,6,1,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,525.4,0.7,38.0,2.9,38.0,49.0,7.7,70.7,0.7463,Good,2004-04-11 06:00:00
0.9,888.0,60.0,3.0,651.0,51.0,1240.0,52.0,1298.0,733.0,8.2,66.6,0.7283,7,11,4,6,1,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,546.1199999999999,0.8,44.0,2.9,41.0,49.0,7.4,71.0,0.7346,Satisfactory,2004-04-11 07:00:00
1.1,912.0,88.0,3.7,694.0,61.0,1196.0,58.0,1343.0,727.0,8.7,64.3,0.7267,8,11,4,6,1,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,559.41,0.9,60.0,3.0,51.0,52.0,8.2,66.6,0.7283,Good,2004-04-11 08:00:00
1.0,938.0,70.0,3.9,706.0,47.0,1177.0,51.0,1320.0,642.0,13.0,47.9,0.7116,9,11,4,6,1,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,622.6999999999999,1.1,88.0,3.7,61.0,58.0,8.7,64.3,0.7267,Moderate,2004-04-11 09:00:00
1.6,1053.0,94.0,6.2,823.0,87.0,1040.0,77.0,1386.0,810.0,17.4,35.4,0.699,10,11,4,6,1,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,615.9599999999999,1.0,70.0,3.9,47.0,51.0,13.0,47.9,0.7116,Moderate,2004-04-11 10:00:00
1.8,1087.0,126.0,7.3,870.0,107.0,1014.0,90.0,1412.0,851.0,20.2,29.2,0.683,11,11,4,6,1,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,589.8399999999999,1.6,94.0,6.2,87.0,77.0,17.4,35.4,0.699,Poor,2004-04-11 11:00:00
2.6,1153.0,181.0,9.2,945.0,161.0,969.0,118.0,1425.0,911.0,22.7,22.9,0.6224,12,11,4,6,1,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,519.8299999999999,1.8,126.0,7.3,107.0,90.0,20.2,29.2,0.683,Good,2004-04-11 12:00:00
1.1,894.0,66.0,4.0,710.0,61.0,1209.0,70.0,1200.0,611.0,22.3,22.4,0.5955,13,11,4,6,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,499.52,2.6,181.0,9.2,161.0,118.0,22.7,22.9,0.6224,Good,2004-04-11 13:00:00
0.6,797.0,54.0,2.3,606.0,26.0,1452.0,35.0,1076.0,368.0,22.2,18.9,0.4993,14,11,4,6,1,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,419.5799999999999,1.1,66.0,4.0,61.0,70.0,22.3,22.4,0.5955,Good,2004-04-11 14:00:00
0.9,854.0,48.0,3.1,658.0,42.0,1409.0,46.0,1108.0,369.0,22.0,19.0,0.4969,15,11,4,6,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,418.0,0.6,54.0,2.3,26.0,35.0,22.2,18.9,0.4993,Good,2004-04-11 15:00:00
1.0,892.0,66.0,3.2,665.0,55.0,1348.0,58.0,1150.0,394.0,21.0,23.6,0.5788,16,11,4,6,1,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,495.6,0.9,48.0,3.1,42.0,46.0,22.0,19.0,0.4969,Good,2004-04-11 16:00:00
1.2,935.0,65.0,3.3,672.0,65.0,1299.0,61.0,1183.0,415.0,19.6,27.4,0.6162,17,11,4,6,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,537.04,1.0,66.0,3.2,55.0,58.0,21.0,23.6,0.5788,Satisfactory,2004-04-11 17:00:00
1.4,989.0,68.0,4.0,709.0,75.0,1225.0,80.0,1233.0,469.0,17.9,30.8,0.6258,18,11,4,6,1,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,551.3199999999999,1.2,65.0,3.3,65.0,61.0,19.6,27.4,0.6162,Moderate,2004-04-11 18:00:00
2.0,1063.0,118.0,5.7,797.0,93.0,1079.0,93.0,1285.0,607.0,16.4,35.3,0.6532,19,11,4,6,1,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,578.92,1.4,68.0,4.0,75.0,80.0,17.9,30.8,0.6258,Good,2004-04-11 19:00:00
1.1,922.0,65.0,3.4,674.0,63.0,1220.0,78.0,1205.0,498.0,15.6,37.5,0.6575,20,11,4,6,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,585.0,2.0,118.0,5.7,93.0,93.0,16.4,35.3,0.6532,Good,2004-04-11 20:00:00
1.1,925.0,63.0,3.5,680.0,60.0,1223.0,76.0,1217.0,481.0,15.5,36.7,0.6438,21,11,4,6,1,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,568.85,1.1,65.0,3.4,63.0,78.0,15.6,37.5,0.6575,Good,2004-04-11 21:00:00
1.1,924.0,61.0,2.9,648.0,63.0,1272.0,74.0,1186.0,465.0,14.5,39.0,0.6428,22,11,4,6,1,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,565.5,1.1,63.0,3.5,60.0,76.0,15.5,36.7,0.6438,Good,2004-04-11 22:00:00
1.1,914.0,63.0,3.1,661.0,66.0,1256.0,81.0,1187.0,478.0,14.2,38.2,0.6163,23,11,4,6,1,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,542.44,1.1,61.0,2.9,63.0,74.0,14.5,39.0,0.6428,Good,2004-04-11 23:00:00
0.7,840.0,31.0,1.6,556.0,41.0,1474.0,58.0,1094.0,366.0,13.7,38.3,0.5957,0,12,4,0,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,524.7099999999999,1.1,63.0,3.1,66.0,81.0,14.2,38.2,0.6163,Good,2004-04-12 00:00:00
0.6,799.0,29.0,1.1,514.0,42.0,1615.0,59.0,1036.0,332.0,14.1,34.0,0.5442,1,12,4,0,0,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,479.4,0.7,31.0,1.6,41.0,58.0,13.7,38.3,0.5957,Good,2004-04-12 01:00:00
0.7,856.0,34.0,2.0,581.0,36.0,1448.0,54.0,1111.0,346.0,14.6,34.0,0.5605,2,12,4,0,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,496.4,0.6,29.0,1.1,42.0,59.0,14.1,34.0,0.5442,Good,2004-04-12 02:00:00
0.6,830.0,34.0,1.7,560.0,,1452.0,,1066.0,350.0,14.4,32.8,0.5364,3,12,4,0,0,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,472.32,0.7,34.0,2.0,36.0,54.0,14.6,34.0,0.5605,Good,2004-04-12 03:00:00
0.3,753.0,9.0,0.7,462.0,16.0,1822.0,25.0,955.0,274.0,13.9,30.9,0.4868,4,12,4,0,0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,429.51,0.6,34.0,1.7,,,14.4,32.8,0.5364,Good,2004-04-12 04:00:00
0.3,785.0,14.0,0.5,448.0,16.0,1923.0,26.0,1003.0,263.0,13.5,37.9,0.5852,5,12,4,0,0,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,511.65,0.3,9.0,0.7,16.0,25.0,13.9,30.9,0.4868,Good,2004-04-12 05:00:00
0.4,835.0,23.0,0.7,472.0,33.0,1756.0,49.0,1117.0,314.0,13.9,43.6,0.6871,6,12,4,0,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,606.0400000000001,0.3,14.0,0.5,16.0,26.0,13.5,37.9,0.5852,Good,2004-04-12 06:00:00
0.5,865.0,36.0,0.9,494.0,39.0,1613.0,53.0,1185.0,367.0,13.5,50.1,0.7706,7,12,4,0,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,676.35,0.4,23.0,0.7,33.0,49.0,13.9,43.6,0.6871,Good,2004-04-12 07:00:00
0.6,922.0,39.0,1.5,541.0,45.0,1453.0,57.0,1246.0,432.0,13.3,53.6,0.8169,8,12,4,0,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,712.8800000000001,0.5,36.0,0.9,39.0,53.0,13.5,50.1,0.7706,Good,2004-04-12 08:00:00
0.8,975.0,38.0,2.2,598.0,63.0,1268.0,73.0,1293.0,536.0,13.4,56.0,0.8576,9,12,4,0,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,750.4,0.6,39.0,1.5,45.0,57.0,13.3,53.6,0.8169,Satisfactory,2004-04-12 09:00:00
1.0,1040.0,55.0,2.9,646.0,71.0,1210.0,78.0,1325.0,555.0,13.0,59.6,0.886,10,12,4,0,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,774.8000000000001,0.8,38.0,2.2,63.0,73.0,13.4,56.0,0.8576,Satisfactory,2004-04-12 10:00:00
1.3,1115.0,75.0,3.9,707.0,104.0,1105.0,93.0,1384.0,677.0,12.7,62.7,0.9173,11,12,4,0,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,796.29,1.0,55.0,2.9,71.0,78.0,13.0,59.6,0.886,Satisfactory,2004-04-12 11:00:00
1.1,1004.0,64.0,2.8,641.0,85.0,1201.0,71.0,1305.0,557.0,12.1,60.5,0.8505,12,12,4,0,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,732.05,1.3,75.0,3.9,104.0,93.0,12.7,62.7,0.9173,Good,2004-04-12 12:00:00
0.6,895.0,39.0,1.4,536.0,53.0,1415.0,56.0,1229.0,421.0,11.2,64.4,0.8537,13,12,4,0,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,721.28,1.1,64.0,2.8,85.0,71.0,12.1,60.5,0.8505,Good,2004-04-12 13:00:00
0.7,917.0,42.0,1.7,563.0,58.0,1415.0,60.0,1257.0,423.0,10.7,67.6,0.8703,14,12,4,0,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,723.3199999999999,0.6,39.0,1.4,53.0,56.0,11.2,64.4,0.8537,Satisfactory,2004-04-12 14:00:00
1.2,1025.0,78.0,3.6,689.0,89.0,1189.0,77.0,1325.0,519.0,11.4,61.2,0.8236,15,12,4,0,0,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,697.6800000000001,0.7,42.0,1.7,58.0,60.0,10.7,67.6,0.8703,Satisfactory,2004-04-12 15:00:00
1.4,1035.0,69.0,3.1,660.0,96.0,1222.0,82.0,1301.0,533.0,9.9,70.5,0.8581,16,12,4,0,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,697.95,1.2,78.0,3.6,89.0,77.0,11.4,61.2,0.8236,Satisfactory,2004-04-12 16:00:00
1.2,1025.0,67.0,3.5,682.0,88.0,1197.0,77.0,1313.0,537.0,10.3,65.2,0.8151,17,12,4,0,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,671.5600000000001,1.4,69.0,3.1,96.0,82.0,9.9,70.5,0.8581,Satisfactory,2004-04-12 17:00:00
1.3,1040.0,83.0,3.9,705.0,100.0,1149.0,91.0,1324.0,612.0,11.0,58.9,0.7714,18,12,4,0,0,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,647.9,1.2,67.0,3.5,88.0,77.0,10.3,65.2,0.8151,Moderate,2004-04-12 18:00:00
1.8,1070.0,79.0,5.2,776.0,127.0,1065.0,93.0,1369.0,697.0,10.6,59.5,0.7595,19,12,4,0,0,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,630.6999999999999,1.3,83.0,3.9,100.0,91.0,11.0,58.9,0.7714,Satisfactory,2004-04-12 19:00:00
